Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
10,67,0.6911,13.8537
10,48,0.6735,15.7015
10,29,0.6383,18.5149
10,10,0.5602,18.7655
10,86,0.6992,12.2634
10,105,0.7042,10.4170
10,124,0.7040,9.3694
10,143,0.7023,8.4256
10,162,0.7026,7.6764
10,181,0.6985,7.1434
10,200,0.6989,6.5223
39,10,0.7626,13.0078
39,29,0.7172,13.8972
39,48,0.7143,12.9035
39,67,0.7150,11.3480
39,86,0.7139,10.1071
39,105,0.7121,9.2185
39,124,0.7102,8.3454
39,143,0.7088,7.6727
39,162,0.7015,7.1696
68,10,0.7897,8.7761
39,181,0.6992,6.6851
39,200,0.7005,6.1601
68,29,0.7602,9.7201
68,48,0.7378,10.0459
68,67,0.7238,9.5508
68,86,0.7213,8.8342
68,105,0.7131,8.1063
68,124,0.7106,7.4968
68,143,0.7084,6.9686
68,162,0.7008,6.6195
68,181,0.6975,6.2346
68,200,0.6944,5.8506
97,10,0.7963,6.6218
97,29,0.7759,7.2708
97,48,0.7522,7.7611
97,67,0.7379,7.7524
97,86,0.7269,7.4256
97,105,0.7205,7.1682
97,124,0.7140,6.7011
97,143,0.7022,6.3736
97,162,0.7061,6.0218
97,181,0.7033,5.6570
97,200,0.6947,5.4285
126,10,0.7759,5.3848
126,29,0.7768,5.9661
126,48,0.7632,6.2422
126,86,0.7342,6.3873
126,67,0.7450,6.3651
126,105,0.7240,6.1528
126,124,0.7166,5.9998
126,143,0.7057,5.7128
126,162,0.7015,5.5347
126,181,0.6979,5.2864
126,200,0.6940,5.1171
155,10,0.7894,4.7941
155,29,0.7739,5.0179
155,48,0.7635,5.2149
155,86,0.7353,5.4983
155,67,0.7501,5.3684
155,124,0.7165,5.3482
155,143,0.7138,5.2142
155,105,0.7239,5.5052
155,162,0.7028,5.1357
155,181,0.6949,4.9060
155,200,0.6911,4.7270
184,10,0.7877,4.2744
184,29,0.7686,4.3923
184,48,0.7621,4.5292
184,67,0.7505,4.6766
184,86,0.7400,4.7939
184,105,0.7244,4.8458
184,124,0.7186,4.8403
184,143,0.7077,4.7702
184,162,0.7043,4.5865
184,181,0.6956,4.5682
184,200,0.6896,4.4316
213,10,0.7312,3.7077
213,29,0.7546,3.9229
213,48,0.7586,4.0518
213,67,0.7505,4.1276
213,86,0.7381,4.2326
213,105,0.7256,4.3201
213,124,0.7174,4.3483
213,162,0.6980,4.3006
213,143,0.7083,4.3483
213,181,0.6940,4.2137
213,200,0.6851,4.1425
242,10,0.8163,3.6009
242,48,0.7551,3.7110
242,29,0.7742,3.6665
242,67,0.7475,3.7446
242,86,0.7314,3.8130
242,105,0.7244,3.9062
242,124,0.7182,3.9893
242,143,0.7041,4.0134
242,162,0.6992,3.9688
242,181,0.6882,3.9321
242,200,0.6841,3.8362
271,10,0.7064,3.1743
271,29,0.7170,3.2453
271,48,0.7393,3.3696
271,67,0.7408,3.4346
271,86,0.7319,3.5244
271,105,0.7186,3.5885
271,124,0.7130,3.6389
271,143,0.7028,3.6746
271,162,0.6986,3.6550
271,200,0.6805,3.5821
271,181,0.6898,3.6448
300,10,0.7828,3.1867
300,29,0.7695,3.2081
300,48,0.7479,3.2009
300,67,0.7370,3.2283
300,86,0.7292,3.2670
300,105,0.7192,3.3323
300,124,0.7121,3.3462
300,143,0.6992,3.3990
300,162,0.6922,3.4573
300,181,0.6829,3.4075
300,200,0.6745,3.4395
