Request Size Average,Request Size Std Dev,Average Memory Utilization,Average Search Time
10000,10000,0.7648,105.7606
10000,29000,0.7361,56.7963
10000,48000,0.7206,38.1128
39000,10000,0.8223,25.0216
10000,67000,0.7159,28.5502
10000,86000,0.7142,21.9586
39000,29000,0.7636,28.9775
10000,105000,0.7043,18.5267
10000,143000,0.6969,13.8184
10000,124000,0.7003,15.7686
39000,48000,0.7341,25.1028
39000,67000,0.7189,20.8472
10000,162000,0.6920,12.1842
39000,86000,0.7219,17.5116
10000,181000,0.6912,10.9255
10000,200000,0.6821,9.7614
39000,105000,0.7087,15.9220
39000,124000,0.7072,13.6319
68000,29000,0.7790,16.0436
68000,10000,0.8215,13.6258
68000,48000,0.7503,16.5495
68000,67000,0.7325,15.6225
39000,143000,0.7004,11.9490
68000,86000,0.7234,14.2491
39000,162000,0.6935,10.6211
39000,181000,0.6896,9.8123
68000,105000,0.7154,12.9009
68000,124000,0.7027,11.6361
39000,200000,0.6834,9.0118
68000,143000,0.6959,10.5548
97000,10000,0.8075,9.6959
97000,29000,0.7927,10.3883
68000,181000,0.6859,8.8738
68000,162000,0.7017,9.3914
97000,48000,0.7622,11.5714
97000,67000,0.7416,11.8425
97000,105000,0.7167,10.6574
97000,86000,0.7251,11.3222
68000,200000,0.6763,8.2376
97000,143000,0.7006,9.2752
97000,124000,0.7024,9.9928
97000,162000,0.6977,8.3961
126000,10000,0.8087,7.4595
126000,29000,0.7921,7.8084
97000,181000,0.6883,7.9208
126000,48000,0.7668,8.5195
126000,67000,0.7434,8.9890
97000,200000,0.6766,7.5336
126000,86000,0.7290,9.1107
126000,105000,0.7148,8.9760
126000,143000,0.7003,8.0061
126000,124000,0.7109,8.3764
126000,162000,0.6898,7.6548
126000,181000,0.6887,7.0874
155000,10000,0.7783,5.9993
126000,200000,0.6785,6.7747
155000,29000,0.7829,6.3119
155000,48000,0.7689,6.6630
155000,67000,0.7520,7.1715
155000,86000,0.7330,7.3345
155000,105000,0.7212,7.4479
155000,124000,0.7095,7.1657
155000,143000,0.7074,6.9112
155000,181000,0.6909,6.3798
155000,200000,0.6829,6.1619
155000,162000,0.6912,6.8929
184000,10000,0.7790,5.1655
184000,48000,0.7719,5.5597
184000,29000,0.7743,5.3118
184000,67000,0.7502,5.8188
184000,86000,0.7333,6.2046
184000,124000,0.7095,6.1664
184000,105000,0.7282,6.1495
184000,143000,0.6972,6.1394
184000,200000,0.6824,5.6008
184000,162000,0.6911,6.0268
184000,181000,0.6855,5.9032
213000,10000,0.7268,4.3354
213000,29000,0.7664,4.6139
213000,48000,0.7634,4.7548
213000,86000,0.7359,5.1858
213000,67000,0.7521,4.9523
213000,105000,0.7267,5.3821
213000,124000,0.7087,5.4531
213000,143000,0.7068,5.3747
213000,162000,0.6972,5.2038
213000,181000,0.6897,5.2325
213000,200000,0.6772,5.2173
242000,10000,0.8195,4.3078
242000,29000,0.7768,4.2316
242000,86000,0.7351,4.4831
242000,48000,0.7619,4.2318
242000,67000,0.7537,4.3700
242000,105000,0.7228,4.6721
242000,124000,0.7123,4.7403
242000,143000,0.6976,4.8445
242000,162000,0.6961,4.7523
242000,181000,0.6869,4.7489
242000,200000,0.6789,4.6966
271000,10000,0.7041,3.4673
271000,29000,0.7263,3.6225
271000,105000,0.7241,4.1324
271000,48000,0.7470,3.7956
271000,67000,0.7428,3.8983
271000,124000,0.7152,4.2568
271000,143000,0.6997,4.3696
271000,86000,0.7361,3.9725
271000,162000,0.6934,4.3309
271000,181000,0.6864,4.3229
300000,10000,0.7789,3.4870
271000,200000,0.6784,4.3262
300000,29000,0.7713,3.4728
300000,48000,0.7497,3.4825
300000,86000,0.7316,3.6287
300000,67000,0.7394,3.5220
300000,105000,0.7210,3.7129
300000,124000,0.7060,3.8104
300000,143000,0.7044,3.8825
300000,162000,0.6923,3.9537
300000,181000,0.6830,3.9573
300000,200000,0.6744,3.9555
